Rank,CellID,ParamAspectRatio,R2,SigmaEnvEff,CarrierScale_HalfLambda,SigmaC,SigmaS,Ac,As,Freq_cyclesPerPixel,OffsetMag,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
1,470,1.00003810536506,0.770384253723098,4.29909897364825,4.29926279238408,4.29909897364825,4.72552239825267,4.00315613628538,4.81743509596819,0.11629900849181,2.02850592746414,0.854039253819187,0.993351923011528,0.515330819082668,90,87.2107202270937,87.2107202270937,85.4338307594232
2,1623,1.00780523829091,0.63085124215421,3.93121051929659,3.90076412577827,3.93121051929659,4.67289826983805,3.85368938572327,3.93342668930495,0.128180013935152,1.76398498562826,0.187618031037031,1,1.23781875543912,120,124.072745540933,124.072745540933,121.162640591696
3,1455,1.11244946306293,0.617799592781537,5.48053131826672,6.0968141223054,5.48053131826672,6.77151139052741,5.17272192165154,3.71115268080708,0.0820100449135776,1.64381488592246,0.325299607154105,0.889991720981861,1.07719058934452,120,115.701827423537,115.701827423537,112.368994812258
4,1865,1.19968840870902,0.684856301073275,3.95459046211422,4.74427633858966,3.95459046211422,4.24015424147211,5.16504859115218,3.62741840695545,0.105390151061191,1.68299583332731,0.407412530582957,0.668678169290869,1.61317562108789,60,103.713147103061,103.713147103061,150.649257400812
5,1593,1.25416661829898,0.83091207540999,4.02665033154626,5.05009042938784,4.02665033154626,4.51625829103681,9.11372821769125,10.4089981535729,0.0990081280704133,1.27470237258987,0.334068053450889,0.351069135266311,1.44724993267378,60,92.3181414349801,92.3181414349801,95.0525246958622
6,632,1.28535798420246,0.797075994231425,3.51397997509623,4.51672221731749,3.51397997509623,4.35492606952641,3.50863368010349,4.09218874166616,0.110699745510795,1.14249568144084,0.328894768210958,0.984622930009809,0.349134017408429,150,88.5821697519711,88.5821697519711,102.886057012612
7,1672,1.31170685991433,0.75998104816538,3.34702734098982,4.39031872349716,3.34702734098982,3.51867200869775,7.55031634537859,10.4054906018182,0.113886947962111,1.15745581372595,0.059758048578886,0.807939461543825,1.50051289547594,90,92.3646822533477,92.3646822533477,70.4850931443927
8,792,1.35579591519397,0.638809176378072,3.21883576363029,4.3640843800102,3.21883576363029,4.07938161104356,4.38597068224085,4.14099409965012,0.114571570222213,1.60440261647416,NaN,NaN,0.199990108255977,0,76.7314469654642,76.7314469654642,88.0442747155701
9,1845,1.35774054444577,0.781103095593211,2.81720198963777,3.82502936322449,2.81720198963777,2.98412357046674,6.82632606176823,8.76776131436011,0.130717950771102,1.14668349619679,0.858153099674805,1,1.25299316796768,90,89.7033349577751,89.7033349577751,79.3125554133472
10,329,1.41543683114972,0.835935992361701,5.83600733829496,8.26049973348273,5.83600733829496,6.11835338278477,6.94919797864987,5.42640759812232,0.0605290256197604,1.64733011627596,1,1,0.25818803880531,90,117.548305731322,117.548305731322,62.1381405733814
