FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
1,1,60,NaN,NaN,0.299216465157033,0,NaN,57.2767410105231,57.2767410105231,57.2767410105231,57.2767410105231
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,128.607981625937,128.607981625937,-21.3920183740628,-21.3920183740628
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,107.416640846741,107.416640846741,17.416640846741,17.416640846741
4,4,81,0.212110562583409,0.382159216825867,0.233528913428427,90,NaN,89.9627160150282,89.9627160150282,-0.0372839849717934,-0.0372839849717934
5,5,93,0.0735792380123998,0.373547017019511,0.135471826597621,90,NaN,91.8082254440706,91.8082254440706,1.80822544407064,1.80822544407064
6,6,94,0.0419701327761647,0.184495344764415,0.27462395353489,30,NaN,56.8742533877553,56.8742533877553,26.8742533877553,26.8742533877553
7,7,95,0.311822125813449,1,0.458255878435033,90,NaN,90.5281823453147,90.5281823453147,0.52818234531469,0.52818234531469
8,8,107,1,1,1.26529316179806,120,NaN,89.0148379692701,89.0148379692701,-30.9851620307299,-30.9851620307299
9,9,115,0.0321403890236501,0.175907504311242,0.229546674852225,120,NaN,179.993714820666,179.993714820666,59.9937148206657,59.9937148206657
10,10,118,NaN,NaN,0.543186253845517,0,NaN,95.0950651334092,95.0950651334092,-84.9049348665908,-84.9049348665908
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,63.1770826133683,63.1770826133683,-26.8229173866317,-26.8229173866317
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,94.8841005607682,94.8841005607682,4.88410056076818,4.88410056076818
13,13,125,NaN,NaN,0.190797148809229,0,NaN,84.7148785460164,84.7148785460164,84.7148785460163,84.7148785460163
14,14,126,NaN,NaN,0.439449982919711,0,NaN,101.455701679843,101.455701679843,-78.5442983201571,-78.5442983201571
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,90.56089067638,90.56089067638,-89.43910932362,-89.43910932362
16,16,129,NaN,NaN,0.532231262177957,0,NaN,60.4560381466689,60.4560381466689,60.4560381466689,60.4560381466689
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,178.307805611293,178.307805611293,88.307805611293,88.307805611293
18,18,131,0.472965409157058,0.963179005051269,0.433693331369471,30,NaN,10.1220291240845,10.1220291240845,-19.8779708759155,-19.8779708759155
19,19,132,0.398849167072085,1,0.132215941280472,90,NaN,90.4061805360234,90.4061805360234,0.406180536023442,0.406180536023442
20,20,133,1,1,0.851445632287265,30,NaN,152.43843038181,152.43843038181,-57.5615696181903,-57.5615696181903
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,90.0176556815843,90.0176556815843,0.0176556815842872,0.0176556815842872
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,0.0417197822751849,0.0417197822751849,-89.9582802177248,-89.9582802177248
23,23,139,0.478404376918434,0.501179591861686,0.749802872790854,0,NaN,125.142705188366,125.142705188366,-54.8572948116343,-54.8572948116343
24,24,140,1,1,1.53375722104621,60,NaN,74.6814457550058,74.6814457550058,14.6814457550058,14.6814457550058
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,107.883608567373,107.883608567373,-12.1163914326267,-12.1163914326267
26,26,231,0.00468035076420761,1,1.10297185034748,90,NaN,81.0602981921983,81.0602981921983,-8.93970180780167,-8.93970180780167
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,88.3094845843347,88.3094845843347,28.3094845843347,28.3094845843347
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,NaN,60.1876460114067,60.1876460114067,-29.8123539885933,-29.8123539885933
29,29,245,0.451097363381941,0.426174396476906,1.14815813854577,120,NaN,151.629016438291,151.629016438291,31.629016438291,31.629016438291
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,84.5813511877517,84.5813511877517,24.5813511877517,24.5813511877517
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,55.5675204023734,55.5675204023734,-34.4324795976266,-34.4324795976266
32,32,322,1,1,0.0554353683325361,0,NaN,173.541791220398,173.541791220398,-6.45820877960239,-6.45820877960239
33,33,328,0.667059721686811,1,0.158459430505494,0,NaN,134.942363037613,134.942363037613,-45.0576369623874,-45.0576369623874
34,34,329,1,1,0.25818803880531,90,NaN,121.855829984389,121.855829984389,31.8558299843885,31.8558299843885
35,35,331,0.256001013363734,0.277466936362222,0.207757733666849,90,NaN,145.022268992452,145.022268992452,55.0222689924524,55.0222689924524
