FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,89.0148379692701,89.0148379692701,-30.9851620307299,-30.9851620307299
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,63.1770826133683,63.1770826133683,-26.8229173866317,-26.8229173866317
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,90.0176556815843,90.0176556815843,0.0176556815842872,0.0176556815842872
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,0.0417197822751849,0.0417197822751849,-89.9582802177248,-89.9582802177248
24,24,140,1,1,1.53375722104621,60,NaN,74.6814457550058,74.6814457550058,14.6814457550058,14.6814457550058
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,84.5813511877517,84.5813511877517,24.5813511877517,24.5813511877517
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,55.5675204023734,55.5675204023734,-34.4324795976266,-34.4324795976266
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,114.227790397794,114.227790397794,-5.77220960220623,-5.77220960220623
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,40.1969329559449,40.1969329559449,10.1969329559449,10.1969329559449
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,35.4983792501459,35.4983792501459,5.49837925014586,5.49837925014586
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,77.4857020403341,77.4857020403341,-72.5142979596659,-72.5142979596659
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,72.9493693699403,72.9493693699403,12.9493693699403,12.9493693699403
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,44.2938342679043,44.2938342679043,14.2938342679043,14.2938342679043
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,88.5307697523082,88.5307697523082,-61.4692302476918,-61.4692302476918
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,41.8578817922556,41.8578817922556,-78.1421182077444,-78.1421182077444
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,10.5166089696824,10.5166089696824,10.5166089696824,10.5166089696824
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,179.842033915838,179.842033915838,-60.1579660841618,-60.1579660841618
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,2.64086630481587,2.64086630481587,-87.3591336951841,-87.3591336951841
115,115,1353,0.44321100157402,1,1.29419174486341,90,NaN,98.3319646490349,98.3319646490349,8.3319646490349,8.3319646490349
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,98.365552352426,98.365552352426,38.365552352426,38.365552352426
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,NaN,2.40373808827314,2.40373808827314,32.4037380882731,32.4037380882731
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,NaN,104.119823100482,104.119823100482,-15.8801768995178,-15.8801768995178
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,NaN,91.9807621412254,91.9807621412254,31.9807621412254,31.9807621412254
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,96.4120918719907,96.4120918719907,-23.5879081280093,-23.5879081280093
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,106.37313014711,106.37313014711,16.3731301471097,16.3731301471097
154,154,1611,1,1,1.43950861735482,0,NaN,176.679438147079,176.679438147079,-3.3205618529206,-3.3205618529206
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,97.5958413251172,97.5958413251172,-22.4041586748828,-22.4041586748828
156,156,1613,1,1,1.46918665675199,120,NaN,7.14058014711475,7.14058014711475,67.1405801471147,67.1405801471147
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,131.578519520173,131.578519520173,11.5785195201731,11.5785195201731
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,85.2455001760166,85.2455001760166,-4.75449982398341,-4.75449982398341
164,164,1623,0.187618031037031,1,1.23781875543912,120,NaN,121.571709602571,121.571709602571,1.57170960257145,1.57170960257145
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,90.8649988308464,90.8649988308464,-29.1350011691536,-29.1350011691536
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,NaN,91.6335390486486,91.6335390486486,1.63353904864857,1.63353904864857
191,191,1834,0.345783111886181,0.58709880700719,1.4372229991561,60,NaN,33.6701870259515,33.6701870259515,-26.3298129740485,-26.3298129740485
194,194,1840,1,1,1.54814313135624,90,NaN,100.833333941795,100.833333941795,10.8333339417951,10.8333339417951
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,NaN,128.59174596753,128.59174596753,38.5917459675302,38.5917459675302
197,197,1845,0.858153099674805,1,1.25299316796768,90,NaN,90.1028997374491,90.1028997374491,0.102899737449135,0.102899737449135
198,198,1847,0.734353280253017,1,1.38837091466217,90,NaN,94.0050790949548,94.0050790949548,4.00507909495475,4.00507909495475
199,199,1850,0.279557257116864,1,1.35441374380695,150,NaN,139.116614402701,139.116614402701,-10.8833855972987,-10.8833855972987
204,204,1859,0.88251458527099,0.969731773540344,1.27812009561608,0,NaN,163.346213240445,163.346213240445,-16.6537867595555,-16.6537867595555
207,207,1862,0.378358188307556,0.963556848012181,1.3050152388469,90,NaN,103.431436763208,103.431436763208,13.4314367632082,13.4314367632082
209,209,1865,0.407412530582957,0.668678169290869,1.61317562108789,60,NaN,105.404034429959,105.404034429959,45.4040344299594,45.4040344299594
