FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,61.5684478035619,61.5684478035619,-28.4315521964381,-28.4315521964381
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,99.6667283529003,99.6667283529003,9.66672835290028,9.66672835290028
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,86.8198395822771,86.8198395822771,86.8198395822771,86.8198395822771
26,26,231,0.00468035076420761,1,1.10297185034748,90,NaN,80.5160749251837,80.5160749251837,-9.48392507481634,-9.48392507481634
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,NaN,90.214111559551,90.214111559551,0.214111559551,0.214111559551
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,30,NaN,55.130110118475,55.130110118475,25.130110118475,25.130110118475
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,30,NaN,48.6688609566964,48.6688609566964,18.6688609566964,18.6688609566964
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,90,NaN,99.955637872869,99.955637872869,9.95563787286905,9.95563787286905
68,68,659,0.151699029126213,1,0.95671981249897,90,NaN,106.683423830583,106.683423830583,16.6834238305829,16.6834238305829
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,90,NaN,88.6851577769195,88.6851577769195,-1.31484222308048,-1.31484222308048
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,150,NaN,141.626257963468,141.626257963468,-8.37374203653178,-8.37374203653178
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,60,NaN,57.5963086285637,57.5963086285637,-2.40369137143625,-2.40369137143625
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,60,NaN,84.9221561886721,84.9221561886721,24.9221561886721,24.9221561886721
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,NaN,133.922601301062,133.922601301062,-46.0773986989375,-46.0773986989375
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,60,NaN,51.0140971118629,51.0140971118629,-8.9859028881371,-8.9859028881371
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,90,NaN,107.435634346188,107.435634346188,17.4356343461883,17.4356343461883
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,120,NaN,104.140341132146,104.140341132146,-15.859658867854,-15.859658867854
92,92,913,0.0654888451509935,0.799116122799078,1.01765667247033,60,NaN,74.8869147160988,74.8869147160988,14.8869147160988,14.8869147160988
93,93,914,0.0710840656823858,0.868965762645991,0.235432004993664,120,NaN,178.319423961685,178.319423961685,58.3194239616848,58.3194239616848
94,94,915,0.0561438664985229,0.848876389561151,0.507734461034703,0,NaN,22.1379433765279,22.1379433765279,22.1379433765279,22.1379433765279
103,103,1240,0.244681600726606,1,0.16951990166067,90,NaN,103.896174070169,103.896174070169,13.8961740701692,13.8961740701692
116,116,1422,0.0622451169778923,0.572418822663098,1.07898386290685,60,NaN,77.3203678046776,77.3203678046776,17.3203678046776,17.3203678046776
