FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,36.7056295105223,126.705629510522,66.7056295105223,-23.2943704894777
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,13.7360567363421,13.7360567363421,-76.2639432636579,-76.2639432636579
8,8,107,1,1,1.26529316179806,120,NaN,179.170463242172,89.1704632421717,59.1704632421717,-30.8295367578283
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,164.388361343644,74.3883613436435,74.3883613436435,-15.6116386563565
20,20,133,1,1,0.851445632287265,30,NaN,165.967160326305,165.967160326305,-44.032839673695,-44.032839673695
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,89.691708656183,89.691708656183,-0.308291343817004,-0.308291343817004
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,158.148915025723,158.148915025723,68.1489150257225,68.1489150257225
24,24,140,1,1,1.53375722104621,60,NaN,166.87851432532,76.8785143253205,-73.1214856746795,16.8785143253205
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,18.4601918245501,108.46019182455,78.4601918245501,-11.5398081754499
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,14.7204264794516,104.720426479452,-45.2795735205484,44.7204264794515
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,174.205757203599,84.205757203599,-65.794242796401,24.205757203599
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,39.0931647734961,39.0931647734961,-50.9068352265039,-50.9068352265039
32,32,322,1,1,0.0554353683325361,0,NaN,90.854973993133,90.854973993133,-89.145026006867,-89.145026006867
33,33,328,0.667059721686811,1,0.158459430505494,0,NaN,54.4890161058229,144.489016105823,54.4890161058229,-35.5109838941771
34,34,329,1,1,0.25818803880531,90,NaN,119.378805828419,119.378805828419,29.378805828419,29.378805828419
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,120.093808654009,120.093808654009,0.0938086540091376,0.0938086540091376
41,41,375,1,1,0.449063864970436,150,NaN,178.856201750673,88.8562017506735,28.8562017506735,-61.1437982493265
44,44,446,0.87476743987574,0.155438976590163,0.418316858323507,150,NaN,171.565707999339,171.565707999339,21.5657079993393,21.5657079993393
45,45,457,0.800422040712376,1,0.600723913777366,150,NaN,159.673941322541,159.673941322541,9.67394132254051,9.67394132254051
47,47,462,0.500546050236622,0.678116235803737,1.00040405081713,120,NaN,174.00740892209,84.0074089220902,54.0074089220902,-35.9925910779098
48,48,468,1,1,0.595563859748967,0,NaN,7.94625594285901,7.94625594285901,7.94625594285901,7.94625594285901
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,51.0387234387557,51.0387234387557,21.0387234387557,21.0387234387557
50,50,470,0.854039253819187,0.993351923011528,0.515330819082668,90,NaN,177.400758673769,87.400758673769,87.400758673769,-2.59924132623102
51,51,479,0.984929531606121,0.306833048203683,0.428605731005912,120,NaN,0.934911012264337,0.934911012264337,60.9349110122643,60.9349110122643
53,53,600,0.838473384580331,0.0688574098834377,0.0544635760149108,120,NaN,4.74695189728046,4.74695189728046,64.7469518972805,64.7469518972805
58,58,622,1,0.935847921744911,1.07939163752243,60,NaN,18.4692846542224,18.4692846542224,-41.5307153457776,-41.5307153457776
62,62,646,1,0.996172013162902,0.615719491055656,0,NaN,87.3884383772384,87.3884383772384,87.3884383772384,87.3884383772384
63,63,647,0.826446280991736,0.296779475274942,1.1899167294601,90,NaN,138.800135491179,48.8001354911787,48.8001354911787,-41.1998645088213
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,30.8198098046228,30.8198098046228,0.819809804622807,0.819809804622807
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,168.53833862825,78.5383386282499,18.5383386282499,-71.4616613717501
69,69,664,0.594781273983116,1,1.00889372441145,90,NaN,3.79459370807202,93.794593708072,-86.205406291928,3.79459370807201
78,78,778,0.552358442092282,1,0.205946899978626,150,NaN,13.5349591230057,13.5349591230057,43.5349591230056,43.5349591230056
82,82,793,0.639960245859099,0.949417232772556,0.227992005160236,0,NaN,94.0916571994074,94.0916571994074,-85.9083428005926,-85.9083428005926
83,83,797,1,1,0.966724847196359,150,NaN,167.790960371052,77.7909603710515,17.7909603710515,-72.2090396289485
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,108.689243898053,108.689243898053,78.689243898053,78.689243898053
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,178.586889633095,88.5868896330951,28.5868896330951,-61.4131103669049
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,100.034447447877,10.0344474478774,-79.9655525521226,10.0344474478774
96,96,1015,0.880471358080519,0.382913973771726,0.823510466590073,30,NaN,170.608005469155,170.608005469155,-39.3919945308449,-39.3919945308449
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,3.07681043934209,3.07681043934209,-56.9231895606579,-56.9231895606579
98,98,1080,1,1,0.820942765243445,120,NaN,114.386658570422,114.386658570422,-5.61334142957757,-5.61334142957757
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,178.398032864956,88.3980328649558,88.3980328649558,-1.60196713504419
100,100,1086,0.769198649503108,1,1.09867242510574,60,NaN,165.645458962411,165.645458962411,-74.3545410375893,-74.3545410375893
