FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,11.9722120744029,101.972212074403,71.9722120744029,-18.0277879255971
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,152.240017270832,62.2400172708324,62.2400172708324,-27.7599827291676
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,93.1962754167352,93.1962754167352,3.19627541673516,3.19627541673516
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,1.96585685932232,91.9658568593223,-88.0341431406777,1.96585685932232
24,24,140,1,1,1.53375722104621,60,NaN,167.455258588918,77.4552585889175,-72.5447414110825,17.4552585889175
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,178.454852720224,178.454852720224,-61.5451472797764,-61.5451472797764
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,172.940260426973,172.940260426973,82.9402604269732,82.9402604269732
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,8.15908472083188,98.1590847208319,68.1590847208319,-21.8409152791681
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,24.7588228854721,24.7588228854721,-5.24117711452786,-5.24117711452786
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,5.95727453879258,5.95727453879258,-24.0427254612074,-24.0427254612074
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,1.23455150463382,91.2345515046338,31.2345515046338,-58.7654484953662
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,171.558464565564,171.558464565564,-68.4415354344356,-68.4415354344356
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,140.650674378146,140.650674378146,-69.3493256218538,-69.3493256218538
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,165.134303047402,75.1343030474019,15.1343030474019,-74.8656969525981
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,163.904239706041,73.9042397060407,43.9042397060407,-46.0957602939593
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,101.697395684979,11.6973956849789,-78.302604315021,11.6973956849789
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,169.399081971033,79.399081971033,-70.600918028967,19.399081971033
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,177.827692145554,177.827692145554,87.8276921455543,87.8276921455543
115,115,1353,0.44321100157402,1,1.29419174486341,90,NaN,10.7358021789575,100.735802178958,-79.2641978210425,10.7358021789575
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,8.55776221124555,8.55776221124555,-51.4422377887544,-51.4422377887544
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,NaN,37.6481562474385,127.648156247439,67.6481562474385,-22.3518437525615
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,NaN,2.36700826427185,92.3670082642718,62.3670082642718,-27.6329917357282
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,NaN,2.75740826163168,92.7574082616317,-57.2425917383683,32.7574082616317
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,22.406385988309,22.406385988309,82.406385988309,82.406385988309
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,12.5746906309578,102.574690630958,-77.4253093690422,12.5746906309578
154,154,1611,1,1,1.43950861735482,0,NaN,176.661605714381,176.661605714381,-3.33839428561862,-3.33839428561862
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,1.69810799732654,91.6981079973265,61.6981079973265,-28.3018920026735
156,156,1613,1,1,1.46918665675199,120,NaN,42.7468461668673,42.7468461668673,-77.2531538331327,-77.2531538331327
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,123.250055443477,123.250055443477,3.25005544347678,3.25005544347678
