FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,156.937949891626,66.9379498916256,66.9379498916256,-23.0620501083744
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,99.3449854162452,99.3449854162452,9.34498541624517,9.34498541624518
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,0.0570939067875997,0.0570939067875997,0.0570939067875997,0.0570939067875997
26,26,231,0.00468035076420761,1,1.10297185034748,90,NaN,172.779002799577,82.7790027995771,82.7790027995771,-7.22099720042293
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,NaN,163.925275812526,163.925275812526,73.9252758125257,73.9252758125257
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,30,NaN,13.8462397735152,13.8462397735152,-16.1537602264848,-16.1537602264848
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,30,NaN,146.568846039508,146.568846039508,-63.4311539604915,-63.4311539604915
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,90,NaN,174.252211870592,84.2522118705923,84.2522118705923,-5.74778812940772
68,68,659,0.151699029126213,1,0.95671981249897,90,NaN,9.05471898266131,99.0547189826613,-80.9452810173387,9.05471898266131
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,90,NaN,178.131942747238,88.1319427472384,88.1319427472384,-1.86805725276159
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,150,NaN,161.557734675617,161.557734675617,11.5577346756174,11.5577346756174
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,60,NaN,150.492502152484,60.4925021524844,-89.5074978475156,0.492502152484363
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,60,NaN,177.491125102157,87.4911251021573,-62.5088748978427,27.4911251021573
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,NaN,144.965540825232,144.965540825232,-35.0344591747678,-35.0344591747678
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,60,NaN,150.951914626941,150.951914626941,-89.0480853730587,-89.0480853730587
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,90,NaN,5.24304511502748,95.2430451150275,-84.7569548849725,5.24304511502748
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,120,NaN,12.2412916801053,102.241291680105,72.2412916801053,-17.7587083198947
