FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,179.254185114061,89.2541851140608,59.2541851140608,-30.7458148859392
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,156.937949891626,66.9379498916256,66.9379498916256,-23.0620501083744
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,89.9231289218551,89.9231289218551,-0.0768710781449471,-0.0768710781449471
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,157.432632531974,157.432632531974,67.4326325319745,67.4326325319745
24,24,140,1,1,1.53375722104621,60,NaN,166.527841259937,76.5278412599373,-73.4721587400627,16.5278412599373
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,174.302647447494,84.302647447494,-65.697352552506,24.302647447494
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,39.8595063651308,39.8595063651308,-50.1404936348692,-50.1404936348692
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,120.019867151354,120.019867151354,0.01986715135412,0.01986715135412
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,51.0358707272061,51.0358707272061,21.0358707272061,21.0358707272061
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,30.8198130186186,30.8198130186186,0.819813018618603,0.819813018618603
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,168.538105397854,78.5381053978539,18.5381053978539,-71.4618946021461
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,164.107832950572,74.1078329505724,-75.8921670494276,14.1078329505724
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,171.57703140919,171.57703140919,-38.4229685908103,-38.4229685908103
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,178.099498401564,88.0994984015643,28.0994984015643,-61.9005015984357
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,128.130042623546,38.1300426235464,8.13004262354642,-81.8699573764536
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,99.3682678670202,9.36826786702022,-80.6317321329798,9.36826786702022
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,3.13655687219841,3.13655687219841,-56.8634431278016,-56.8634431278016
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,90.9996441893307,90.9996441893307,0.999644189330709,0.999644189330709
115,115,1353,0.44321100157402,1,1.29419174486341,90,NaN,10.1176675757632,100.117667575763,-79.8823324242368,10.1176675757632
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,104.765927470163,104.765927470163,44.7659274701633,44.7659274701633
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,NaN,44.4119575230873,134.411957523087,74.4119575230873,-15.5880424769127
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,NaN,12.6314289869081,12.6314289869081,72.6314289869081,72.6314289869081
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,NaN,2.42127919948386,92.4212791994839,-57.5787208005161,32.4212791994839
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,151.849628909472,61.8496289094718,31.8496289094718,-58.1503710905282
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,104.473486378701,104.473486378701,14.4734863787006,14.4734863787006
154,154,1611,1,1,1.43950861735482,0,NaN,177.189780904163,177.189780904163,-2.81021909583671,-2.81021909583671
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,178.766730359772,178.766730359772,58.7667303597718,58.7667303597718
156,156,1613,1,1,1.46918665675199,120,NaN,135.220299985546,135.220299985546,15.2202999855457,15.2202999855457
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,41.7557471464434,131.755747146443,-78.2442528535566,11.7557471464434
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,176.027056000886,86.0270560008858,86.0270560008858,-3.97294399911419
164,164,1623,0.187618031037031,1,1.23781875543912,120,NaN,33.192267769414,123.192267769414,-86.807732230586,3.19226776941399
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,3.99438661765808,93.9943866176581,63.9943866176581,-26.0056133823419
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,NaN,1.87087611949887,91.8708761194989,-88.1291238805011,1.87087611949887
191,191,1834,0.345783111886181,0.58709880700719,1.4372229991561,60,NaN,23.6793458092016,23.6793458092016,-36.3206541907984,-36.3206541907984
194,194,1840,1,1,1.54814313135624,90,NaN,102.728311907519,102.728311907519,12.7283119075191,12.7283119075191
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,NaN,131.243827901489,131.243827901489,41.2438279014891,41.2438279014891
197,197,1845,0.858153099674805,1,1.25299316796768,90,NaN,179.600707726895,89.6007077268948,89.6007077268948,-0.399292273105203
198,198,1847,0.734353280253017,1,1.38837091466217,90,NaN,3.1174037513833,93.1174037513833,-86.8825962486167,3.11740375138331
199,199,1850,0.279557257116864,1,1.35441374380695,150,NaN,48.0828139136577,138.082813913658,78.0828139136577,-11.9171860863423
204,204,1859,0.88251458527099,0.969731773540344,1.27812009561608,0,NaN,162.99478069073,162.99478069073,-17.0052193092695,-17.0052193092695
207,207,1862,0.378358188307556,0.963556848012181,1.3050152388469,90,NaN,108.396460575542,108.396460575542,18.3964605755424,18.3964605755424
209,209,1865,0.407412530582957,0.668678169290869,1.61317562108789,60,NaN,105.082609776785,105.082609776785,45.0826097767849,45.0826097767849
