FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,61.5681989189537,61.5681989189537,-28.4318010810463,-28.4318010810463
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,99.6666627197276,99.6666627197276,9.66666271972758,9.66666271972758
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,177.927048069784,177.927048069784,-2.07295193021594,-2.07295193021594
26,26,231,0.00468035076420761,1,1.10297185034748,90,NaN,80.5161020537583,80.5161020537583,-9.4838979462417,-9.4838979462417
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,NaN,94.6749759234819,94.6749759234819,4.67497592348194,4.67497592348194
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,30,NaN,145.483460368507,145.483460368507,-64.5165396314927,-64.5165396314927
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,30,NaN,48.6691308726508,48.6691308726508,18.6691308726508,18.6691308726508
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,90,NaN,9.74683237015968,9.74683237015968,-80.2531676298403,-80.2531676298403
68,68,659,0.151699029126213,1,0.95671981249897,90,NaN,9.47233504771834,9.47233504771834,-80.5276649522817,-80.5276649522817
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,90,NaN,88.6840822627646,88.6840822627646,-1.31591773723542,-1.31591773723542
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,150,NaN,52.0584441986188,52.0584441986188,82.0584441986188,82.0584441986188
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,60,NaN,163.756456938792,163.756456938792,-76.2435430612077,-76.2435430612077
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,60,NaN,84.9225692397561,84.9225692397561,24.9225692397561,24.9225692397561
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,NaN,138.869185603639,138.869185603639,-41.1308143963614,-41.1308143963614
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,60,NaN,40.1916873630613,40.1916873630613,-19.8083126369387,-19.8083126369387
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,90,NaN,1.36315344048455,1.36315344048455,-88.6368465595154,-88.6368465595154
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,120,NaN,3.8764908767423,3.8764908767423,63.8764908767423,63.8764908767423
92,92,913,0.0654888451509935,0.799116122799078,1.01765667247033,60,NaN,166.465375332653,166.465375332653,-73.5346246673466,-73.5346246673466
93,93,914,0.0710840656823858,0.868965762645991,0.235432004993664,120,NaN,5.81959406079446,5.81959406079446,65.8195940607945,65.8195940607945
94,94,915,0.0561438664985229,0.848876389561151,0.507734461034703,0,NaN,150.212598452925,150.212598452925,-29.7874015470746,-29.7874015470746
103,103,1240,0.244681600726606,1,0.16951990166067,90,NaN,178.739932077729,178.739932077729,88.7399320777295,88.7399320777295
116,116,1422,0.0622451169778923,0.572418822663098,1.07898386290685,60,NaN,161.186107859764,161.186107859764,-78.8138921402357,-78.8138921402357
117,117,1430,0.0452403357118638,0.725200991499564,0.194210280322793,90,NaN,77.9528669107175,77.9528669107175,-12.0471330892825,-12.0471330892825
