FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,37.8164613349579,127.816461334958,67.8164613349579,-22.1835386650421
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,97.1089816073005,97.1089816073005,7.10898160730046,7.10898160730046
8,8,107,1,1,1.26529316179806,120,NaN,89.7247877182101,89.7247877182101,-30.2752122817899,-30.2752122817899
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,89.8160120278847,89.8160120278847,-0.183987972115276,-0.183987972115276
20,20,133,1,1,0.851445632287265,30,NaN,71.3419500962701,161.34195009627,41.3419500962701,-48.6580499037299
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,90.2860660279982,90.2860660279982,0.28606602799816,0.28606602799816
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,46.9345461649337,136.934546164934,-43.0654538350663,46.9345461649337
24,24,140,1,1,1.53375722104621,60,NaN,75.5607776032599,75.5607776032599,15.5607776032599,15.5607776032599
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,13.0218983451823,103.021898345182,73.0218983451823,-16.9781016548177
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,91.6351827230616,91.6351827230616,31.6351827230616,31.6351827230616
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,84.6908306201656,84.6908306201656,24.6908306201656,24.6908306201656
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,53.6045747291493,53.6045747291493,-36.3954252708507,-36.3954252708507
32,32,322,1,1,0.0554353683325361,0,NaN,90.2063740494839,90.2063740494839,-89.7936259505161,-89.7936259505161
33,33,328,0.667059721686811,1,0.158459430505494,0,NaN,151.069473702887,151.069473702887,-28.9305262971127,-28.9305262971127
34,34,329,1,1,0.25818803880531,90,NaN,121.358253393763,121.358253393763,31.358253393763,31.358253393763
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,114.676022512633,114.676022512633,-5.32397748736679,-5.32397748736679
41,41,375,1,1,0.449063864970436,150,NaN,178.564037870872,88.5640378708718,28.5640378708718,-61.4359621291282
44,44,446,0.87476743987574,0.155438976590163,0.418316858323507,150,NaN,18.5625919720908,108.562591972091,48.5625919720908,-41.4374080279092
45,45,457,0.800422040712376,1,0.600723913777366,150,NaN,77.4102679785158,167.410267978516,-72.5897320214842,17.4102679785158
47,47,462,0.500546050236622,0.678116235803737,1.00040405081713,120,NaN,105.561748058866,105.561748058866,-14.4382519411342,-14.4382519411342
48,48,468,1,1,0.595563859748967,0,NaN,103.861005663246,13.8610056632465,-76.1389943367535,13.8610056632465
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,99.8179051194665,9.81790511946653,69.8179051194665,-20.1820948805335
50,50,470,0.854039253819187,0.993351923011528,0.515330819082668,90,NaN,87.251032889241,87.251032889241,-2.74896711075897,-2.74896711075897
51,51,479,0.984929531606121,0.306833048203683,0.428605731005912,120,NaN,104.039123595093,104.039123595093,-15.9608764049066,-15.9608764049066
53,53,600,0.838473384580331,0.0688574098834377,0.0544635760149108,120,NaN,99.5576581656713,99.5576581656713,-20.4423418343287,-20.4423418343287
58,58,622,1,0.935847921744911,1.07939163752243,60,NaN,68.0584982885167,68.0584982885167,8.05849828851669,8.05849828851669
62,62,646,1,0.996172013162902,0.615719491055656,0,NaN,90.2598390205894,0.259839020589385,-89.7401609794106,0.259839020589382
63,63,647,0.826446280991736,0.296779475274942,1.1899167294601,90,NaN,140.108014685045,50.1080146850455,50.1080146850455,-39.8919853149545
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,126.512876925028,36.5128769250284,-83.4871230749716,6.51287692502842
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,168.180646137283,78.1806461372826,18.1806461372826,-71.8193538627174
69,69,664,0.594781273983116,1,1.00889372441145,90,NaN,6.16448778845373,96.1644877884537,-83.8355122115463,6.16448778845373
78,78,778,0.552358442092282,1,0.205946899978626,150,NaN,114.613092265164,114.613092265164,-35.3869077348358,-35.3869077348358
82,82,793,0.639960245859099,0.949417232772556,0.227992005160236,0,NaN,84.9517656856568,84.9517656856568,84.9517656856568,84.9517656856568
83,83,797,1,1,0.966724847196359,150,NaN,157.103257748612,157.103257748612,7.10325774861153,7.10325774861153
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,95.9941048252168,5.99410482521682,65.9941048252168,-24.0058951747832
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,179.886564458019,179.886564458019,29.8865644580191,29.8865644580191
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,100.533327134225,10.5333271342249,-79.4666728657751,10.5333271342249
96,96,1015,0.880471358080519,0.382913973771726,0.823510466590073,30,NaN,91.2807381072905,1.28073810729048,61.2807381072905,-28.7192618927095
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,117.476812198514,27.4768121985135,57.4768121985135,-32.5231878014865
98,98,1080,1,1,0.820942765243445,120,NaN,24.7081466668501,114.70814666685,84.7081466668501,-5.29185333314993
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,94.0073812744684,4.00738127446837,4.00738127446836,-85.9926187255316
100,100,1086,0.769198649503108,1,1.09867242510574,60,NaN,45.2813951970159,135.281395197016,-14.7186048029841,75.2813951970159
104,104,1248,0.563953897795827,0.534013286480318,0.10210537102235,120,NaN,7.85833190777041,97.8583319077704,67.8583319077704,-22.1416680922296
107,107,1322,0.586793409708586,0.32129193176774,0.717866433957491,90,NaN,18.5021447706482,108.502144770648,-71.4978552293518,18.5021447706482
110,110,1330,1,0.423341576174605,0.850243840613067,120,NaN,143.441036616399,53.4410366163993,23.4410366163993,-66.5589633836007
111,111,1334,1,1,0.118473237410928,90,NaN,74.6136600287572,74.6136600287572,-15.3863399712428,-15.3863399712428
113,113,1347,0.725095279677288,0.867110322241284,1.10489492110861,120,NaN,110.102211090792,110.102211090792,-9.89778890920753,-9.89778890920753
114,114,1348,1,0.493771547927624,0.941645111883071,90,NaN,141.394948014015,141.394948014015,51.3949480140146,51.3949480140146
120,120,1440,0.68607588097843,1,0.287495555533532,0,NaN,84.602671620859,174.602671620859,84.602671620859,-5.39732837914102
125,125,1510,1,1,0.160186233820611,0,NaN,158.636221828323,68.6362218283225,-21.3637781716775,68.6362218283225
126,126,1517,1,1,0.858692995849257,120,NaN,93.0062875842946,3.00628758429462,-26.9937124157054,63.0062875842946
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,10.1944417648248,100.194441764825,-49.8055582351752,40.1944417648248
128,128,1545,0.578586340590516,0.721275935046215,0.03361617577342,90,NaN,141.506265555774,51.5062655557741,51.5062655557741,-38.4937344442259
129,129,1546,1,0.0500561006108734,0.450413978798531,0,NaN,129.731718070753,129.731718070753,-50.2682819292472,-50.2682819292472
130,130,1563,0.584231342727465,0.42385304250598,1.00899872034985,90,NaN,34.6358751777618,124.635875177762,-55.3641248222382,34.6358751777618
142,142,1590,0.580840590685346,0.297111960965317,0.735548758184538,150,NaN,116.42120750923,116.42120750923,-33.5787924907702,-33.5787924907702
143,143,1592,1,1,1.06414138710626,90,NaN,173.980900874438,83.9809008744379,83.9809008744379,-6.01909912556211
145,145,1596,1,1,0.287251394974415,0,NaN,135.008497278829,45.0084972788292,-44.9915027211708,45.0084972788292
149,149,1602,0.503115009427002,0.451017635546899,0.683884881248762,150,NaN,19.1863683741257,109.186368374126,49.1863683741257,-40.8136316258743
150,150,1605,1,1,0.888250422926406,150,NaN,155.459650614514,155.459650614514,5.45965061451363,5.45965061451363
151,151,1606,0.505975049244911,0.853160332663778,0.692836018519022,90,NaN,177.721657231838,177.721657231838,87.7216572318378,87.7216572318378
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,105.497901450356,105.497901450356,15.4979014503562,15.4979014503562
154,154,1611,1,1,1.43950861735482,0,NaN,87.600001783888,177.600001783888,87.600001783888,-2.39999821611195
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,161.726873283787,161.726873283787,41.7268732837874,41.7268732837874
156,156,1613,1,1,1.46918665675199,120,NaN,57.5955637186152,147.595563718615,-62.4044362813848,27.5955637186152
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,40.5309572518435,130.530957251843,-79.4690427481565,10.5309572518435
159,159,1618,0.900946655660263,0.473117045786903,1.05090011354247,30,NaN,170.041405125529,80.0414051255287,-39.9585948744713,50.0414051255287
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,174.30901888401,84.3090188840103,84.3090188840103,-5.69098111598967
161,161,1620,0.975992383983199,0.526751108331134,0.983274990045516,30,NaN,48.7244803062412,138.724480306241,18.7244803062412,-71.2755196937588
163,163,1622,0.521327423875391,0.99864338180506,1.10900874900209,0,NaN,3.36977590113839,3.36977590113839,3.3697759011384,3.3697759011384
165,165,1635,0.794437980429931,0.365771058090273,1.14358815070917,150,NaN,179.534060380158,179.534060380158,29.5340603801577,29.5340603801577
167,167,1642,0.780711105537092,0.750145758596328,0.942593670278619,150,NaN,26.9442392274016,26.9442392274016,56.9442392274016,56.9442392274016
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,90.4213881459281,90.4213881459281,-29.5786118540719,-29.5786118540719
