FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
1,1,60,NaN,NaN,0.299216465157033,0,NaN,48.2655843220924,48.2655843220924,48.2655843220924,48.2655843220924
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,129.440795376633,129.440795376633,-20.5592046233672,-20.5592046233672
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,15.189654466921,15.189654466921,-74.810345533079,-74.810345533079
4,4,81,0.212110562583409,0.382159216825867,0.233528913428427,90,NaN,53.3354794296605,53.3354794296605,-36.6645205703395,-36.6645205703395
5,5,93,0.0735792380123998,0.373547017019511,0.135471826597621,90,NaN,84.5907754260822,84.5907754260822,-5.40922457391784,-5.40922457391784
6,6,94,0.0419701327761647,0.184495344764415,0.27462395353489,30,NaN,111.655602631311,111.655602631311,81.6556026313108,81.6556026313108
7,7,95,0.311822125813449,1,0.458255878435033,90,NaN,96.1233115527285,96.1233115527286,6.12331155272854,6.12331155272855
8,8,107,1,1,1.26529316179806,120,NaN,102.702114207854,102.702114207854,-17.2978857921464,-17.2978857921464
9,9,115,0.0321403890236501,0.175907504311242,0.229546674852225,120,NaN,114.595829125686,114.595829125686,-5.40417087431381,-5.40417087431378
10,10,118,NaN,NaN,0.543186253845517,0,NaN,93.3242011868578,93.3242011868578,-86.6757988131421,-86.6757988131421
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,61.5686919690952,61.5686919690952,-28.4313080309048,-28.4313080309048
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,99.6666080349493,99.6666080349493,9.66660803494933,9.66660803494933
13,13,125,NaN,NaN,0.190797148809229,0,NaN,89.0763428991115,89.0763428991115,89.0763428991115,89.0763428991115
14,14,126,NaN,NaN,0.439449982919711,0,NaN,101.567682444255,101.567682444255,-78.4323175557446,-78.4323175557446
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,86.8147839490299,86.8147839490299,86.8147839490299,86.8147839490299
16,16,129,NaN,NaN,0.532231262177957,0,NaN,62.3105042597543,62.3105042597543,62.3105042597543,62.3105042597543
