FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,102.702114207854,102.702114207854,-17.2978857921464,-17.2978857921464
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,61.5686919690952,61.5686919690952,-28.4313080309048,-28.4313080309048
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,90.8411554159409,90.8411554159409,0.841155415940932,0.841155415940932
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,96.7412304936938,96.7412304936938,6.74123049369385,6.74123049369385
24,24,140,1,1,1.53375722104621,60,NaN,76.9099977887517,76.9099977887517,16.9099977887517,16.9099977887517
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,83.9155054670702,83.9155054670702,23.9155054670702,23.9155054670702
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,79.1332851303542,79.1332851303542,-10.8667148696458,-10.8667148696458
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,99.6332280889027,99.6332280889027,-20.3667719110973,-20.3667719110973
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,63.5793533507288,63.5793533507288,33.5793533507288,33.5793533507288
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,33.5758279806839,33.5758279806839,3.57582798068385,3.57582798068385
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,78.0910057955639,78.0910057955639,-71.9089942044361,-71.9089942044361
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,71.9269479905173,71.9269479905173,11.9269479905173,11.9269479905173
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,58.1712065651456,58.1712065651456,28.1712065651456,28.1712065651456
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,74.2802451014058,74.2802451014058,-75.7197548985942,-75.7197548985942
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,71.262683129904,71.262683129904,-48.737316870096,-48.737316870096
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,12.8190466708473,12.8190466708473,12.8190466708473,12.8190466708473
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,80.7352170846278,80.7352170846278,20.7352170846278,20.7352170846278
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,92.1028353571743,92.1028353571743,2.10283535717429,2.10283535717429
