FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,54.573520512023,35.426479487977,-35.426479487977,-54.573520512023
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,98.9359356428049,81.0640643571951,8.93593564280495,-8.93593564280495
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,82.9749959116349,97.0250040883651,82.9749959116349,-82.9749959116349
26,26,231,0.00468035076420761,1,1.10297185034748,90,NaN,40.7149387395145,49.2850612604855,-49.2850612604855,-40.7149387395145
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,90,NaN,90.3132499040987,179.686750095901,0.313249904098654,89.6867500959013
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,30,NaN,53.9319337487298,126.06806625127,23.9319337487298,-83.9319337487298
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,30,NaN,112.919855354012,157.080144645988,82.9198553540119,-52.9198553540119
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,90,NaN,31.8128274303,58.1871725697,-58.1871725697,-31.8128274303
68,68,659,0.151699029126213,1,0.95671981249897,90,NaN,139.930403742363,130.069596257637,49.9304037423627,40.0695962576373
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,90,NaN,154.514256909419,25.4857430905814,64.5142569094186,-64.5142569094186
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,150,NaN,135.189876828568,44.8101231714325,-14.8101231714325,74.8101231714325
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,60,NaN,42.813408070452,47.186591929548,-17.186591929548,-12.813408070452
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,60,NaN,43.7757679490918,46.2242320509082,-16.2242320509082,-13.7757679490918
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,NaN,100.827078574523,79.1729214254769,-79.1729214254769,79.1729214254769
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,60,NaN,101.320090605688,168.679909394312,41.3200906056877,-71.3200906056877
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,90,NaN,146.585263460841,123.414736539159,56.5852634608414,33.4147365391586
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,120,NaN,170.087612847179,9.91238715282076,50.0876128471792,69.9123871528208
92,92,913,0.0654888451509935,0.799116122799078,1.01765667247033,60,NaN,32.3064137641012,57.6935862358988,-27.6935862358988,-2.30641376410115
93,93,914,0.0710840656823858,0.868965762645991,0.235432004993664,120,NaN,109.687754129014,70.3122458709864,-10.3122458709864,-49.6877541290136
94,94,915,0.0561438664985229,0.848876389561151,0.507734461034703,0,NaN,50.2666790870018,39.7333209129981,50.2666790870018,39.7333209129981
103,103,1240,0.244681600726606,1,0.16951990166067,90,NaN,141.787778867971,128.212221132029,51.7877788679715,38.2122211320285
116,116,1422,0.0622451169778923,0.572418822663098,1.07898386290685,60,NaN,79.8271825761748,10.1728174238252,19.8271825761748,-49.8271825761747
117,117,1430,0.0452403357118638,0.725200991499564,0.194210280322793,90,NaN,19.6771508744297,70.3228491255703,-70.3228491255703,-19.6771508744297
118,118,1431,0.182223980110747,0.506842317099601,0.43759953609353,30,NaN,38.7577585209549,141.242241479045,8.75775852095489,-68.7577585209549
123,123,1453,0.0460994474230023,1,0.281221132419456,90,NaN,47.8609921188328,42.1390078811672,-42.1390078811672,-47.8609921188328
139,139,1587,0.0878368006849545,0.572432340505077,0.330415192676456,90,NaN,76.8850242908336,103.114975709166,-13.1149757091664,13.1149757091664
141,141,1589,0.132071457419802,0.969902712861336,0.352424246855138,0,NaN,8.36396441087938,171.636035589121,8.36396441087939,-8.36396441087936
148,148,1601,0.129706842657151,0.799226340631423,0.952975869977428,150,NaN,121.688299535221,148.311700464779,-28.3117004647794,-1.68829953522055
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,39.7427879002268,140.257212099773,-80.2572120997732,20.2572120997732
157,157,1614,0.0991189427312774,0.563188451214971,0.471611110182237,120,NaN,41.7889639983776,48.2110360016224,-78.2110360016224,-71.7889639983776
164,164,1623,0.187618031037031,1,1.23781875543912,120,NaN,162.871848572049,107.128151427951,42.8718485720488,-12.8718485720488
