FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,92,92,149.236094501815,113.809615013838,57.2360945018147,21.8096150138377
12,12,123,0.264580741286884,1,0.991726458456369,90,90,161.724462851849,80.6603984946543,71.7244628518493,-9.33960150534571
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,0,89.5818826256264,172.556878537261,89.5818826256264,-7.44312146273859
26,26,231,0.00468035076420761,1,1.10297185034748,88,88,148.324835067128,99.0397738066422,60.3248350671277,11.0397738066422
28,28,244,0.216474555818484,0.815141869143416,0.259443591261932,94,94,15.1683755160988,15.4816254201974,-78.8316244839012,-78.5183745798026
37,37,353,0.148656104234818,0.874691751497092,0.893657643263912,22,22,10.3475458251423,154.279491001984,-11.6524541748577,-47.720508998016
54,54,614,0.160886155248021,0.504362270760649,1.07359817020936,17,17,35.8198976647817,58.7397530187937,18.8198976647817,41.7397530187937
59,59,629,0.25516967126193,0.610838187189228,0.974713972601663,81,81,153.57481924275,95.3876466730503,72.5748192427503,14.3876466730503
68,68,659,0.151699029126213,1,0.95671981249897,85,85,179.143031035213,49.0745736524766,-85.8569689647866,-35.9254263475234
71,71,744,0.167472344431771,0.702664539882098,0.398193509875583,78,78,114.436836630246,88.9510935396648,36.4368366302461,10.9510935396648
76,76,775,0.225196825160181,0.837304242158571,0.285985894346829,135,135,96.7065380785067,51.8964149070742,-38.2934619214933,-83.1035850929258
79,79,779,0.260021900042419,0.727505187148544,1.07359642084687,52,52,167.374190765295,120.187592676745,-64.6258092347048,68.1875926767448
80,80,783,0.105178535539626,0.865829098619249,0.880446176398457,67,67,156.068513485505,109.844281434597,89.0685134855053,42.8442814345971
84,84,798,0.23223880135809,0.941312385597019,0.416010910676489,0,0,122.216207092386,43.0432856669088,-57.7837929076143,43.0432856669088
85,85,800,0.282148931845655,0.929859925502406,0.527409529837808,47,47,170.769579284805,2.08966989049295,-56.2304207151947,-44.9103301095071
88,88,870,0.17841139177482,0.842723658227372,1.21836253204037,104,104,3.48559746282463,60.0708609236661,79.4855974628246,-43.9291390763339
91,91,912,0.0562529218750683,0.898498857725283,1.20669542792277,106,106,88.2003119374743,78.2879247846536,-17.7996880625257,-27.7120752153464
92,92,913,0.0654888451509935,0.799116122799078,1.01765667247033,63,63,172.271428353314,114.577842117415,-70.7285716466859,51.5778421174152
93,93,914,0.0710840656823858,0.868965762645991,0.235432004993664,115,115,79.9409330858019,9.62868721481546,-35.0590669141981,74.6286872148154
94,94,915,0.0561438664985229,0.848876389561151,0.507734461034703,1,1,6.21741585348335,146.484094940485,5.21741585348336,-34.5159050595148
103,103,1240,0.244681600726606,1,0.16951990166067,93,93,31.3802318680794,83.1680107360509,-61.6197681319206,-9.8319892639491
116,116,1422,0.0622451169778923,0.572418822663098,1.07898386290685,76,76,10.0349002448826,179.862082821057,-65.9650997551174,-76.1379171789426
117,117,1430,0.0452403357118638,0.725200991499564,0.194210280322793,84,84,160.911408522869,90.5885593972991,76.9114085228694,6.58855939729912
118,118,1431,0.182223980110747,0.506842317099601,0.43759953609353,30,30,49.4937060001825,88.2514645211374,19.4937060001826,58.2514645211374
123,123,1453,0.0460994474230023,1,0.281221132419456,77,77,179.854549589211,137.715541708044,-77.1454504107888,60.715541708044
139,139,1587,0.0878368006849545,0.572432340505077,0.330415192676456,89,89,72.5814594055868,149.46648369642,-16.4185405944132,60.4664836964204
141,141,1589,0.132071457419802,0.969902712861336,0.352424246855138,5,5,72.0484147509335,80.4123791618129,67.0484147509335,75.4123791618129
148,148,1601,0.129706842657151,0.799226340631423,0.952975869977428,146,146,6.3550140677152,38.0433136029358,40.3550140677152,72.0433136029358
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,122,122,58.4778561930369,98.2206440932637,-63.5221438069631,-23.7793559067363
157,157,1614,0.0991189427312774,0.563188451214971,0.471611110182237,106,106,160.138808544494,111.927772542872,54.1388085444945,5.92777254287206
164,164,1623,0.187618031037031,1,1.23781875543912,112,112,164.231244043209,57.1030926152578,52.231244043209,-54.8969073847422
166,166,1641,0.250636600951298,0.924714921195144,0.85579340611819,135,135,5.15517001351931,35.3635250272892,50.1551700135193,80.3635250272892
168,168,1644,0.181540115438269,1,0.457592975015812,106,106,67.5877586856693,89.2646457320414,-38.4122413143307,-16.7353542679586
169,169,1645,0.269666169961969,0.99587463148644,0.780006712530172,86,86,178.905731578933,10.9728147104115,-87.0942684210669,-75.0271852895885
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,91,91,90.173766044768,88.9546089866235,-0.826233955231984,-2.04539101337654
172,172,1762,0.0385346928566855,0.919943410360406,0.165384982035987,9,9,65.432293436663,94.912971375618,56.432293436663,85.912971375618
189,189,1832,0.23207491338925,0.938130516923959,0.914650467005988,143,143,157.832951624136,141.264798056007,14.832951624136,-1.73520194399293
190,190,1833,0.066808721678528,0.561513550092065,0.380867880313611,93,93,10.7393605825538,97.1079250926978,-82.2606394174462,4.10792509269784
195,195,1841,0.00216734101934382,1,1.22225595016539,96,96,19.9304687495814,75.248406415518,-76.0695312504186,-20.751593584482
199,199,1850,0.279557257116864,1,1.35441374380695,157,157,154.652581223807,41.8693320174701,-2.34741877619274,64.8693320174701
201,201,1852,0.160368081379068,0.953182443061615,0.570621737068974,0,0,44.1224399038888,41.0455462016569,44.1224399038888,41.0455462016569
206,206,1861,0.144016035100456,1,0.89932543923471,6,6,177.049988894247,2.11908863320998,-8.95001110575311,-3.88091136679003
208,208,1863,0.113906697310592,1,1.21438301605075,104,104,116.491809796528,79.0022982460415,12.4918097965276,-24.9977017539585
