FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,128.093818243523,90.2744886954551,8.093818243523,-29.7255113045449
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,149.236094501815,113.809615013838,59.2360945018147,23.8096150138377
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,54.5550261291234,89.7139448572573,-35.4449738708766,-0.28605514274274
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,11.6761239106158,43.0654538350662,-78.3238760893842,-46.9345461649338
24,24,140,1,1,1.53375722104621,60,NaN,110.5623622734,104.43922239674,50.5623622734,44.4392223967401
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,86.9784446980586,95.3091693798344,26.9784446980586,35.3091693798344
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,62.5333718403384,126.395425270851,-27.4666281596616,36.3954252708507
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,115.344062751284,65.3230384180648,-4.65593724871613,-54.6769615819352
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,15.8624932674175,170.182094880533,-14.1375067325825,-39.8179051194665
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,157.127119504114,143.487123074972,-52.8728804958862,-66.5128769250284
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,162.894541225935,101.819353862717,12.8945412259346,-48.1806461372826
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,97.5613678440222,107.03310498292,37.5613678440222,47.0331049829205
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,9.22465489241196,174.005895174783,-20.775345107588,-35.9941048252168
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,107.430721280213,0.11343554198087,-42.5692787197869,30.1134355419809
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,31.0990448515537,136.037760495559,-88.9009551484463,16.0377604955588
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,99.4308746331556,169.466672865775,-80.5691253668444,-10.5333271342249
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,177.717649268663,152.523187801486,-62.2823507313367,-87.4768121985135
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,81.4848251571204,175.992618725532,-8.51517484287959,85.9926187255316
115,115,1353,0.44321100157402,1,1.29419174486341,90,NaN,148.988016005934,87.5819255844984,58.988016005934,-2.41807441550162
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,58.9439096146835,79.8055582351752,-1.05609038531645,19.8055582351752
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,NaN,167.874955486672,36.0986231220679,17.8749554866721,66.0986231220679
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,NaN,76.6608126560771,168.431869730098,-43.3391873439229,48.4318697300985
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,NaN,79.7176416950514,87.591100509767,19.7176416950514,27.591100509767
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,58.4778561930369,98.2206440932637,-61.5221438069631,-21.7793559067363
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,140.859454568173,74.4997309788952,50.8594545681733,-15.5002690211048
154,154,1611,1,1,1.43950861735482,0,NaN,5.59953270301776,2.39999821611198,5.59953270301776,2.39999821611198
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,93.9862684487006,18.2731267162126,-26.0137315512994,78.2731267162126
156,156,1613,1,1,1.46918665675199,120,NaN,45.5831144406741,32.4044362813848,-74.4168855593259,-87.5955637186152
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,142.004958299177,49.4690427481565,22.0049582991772,-70.5309572518435
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,163.482431084355,95.6909811159897,73.4824310843548,5.69098111598967
164,164,1623,0.187618031037031,1,1.23781875543912,120,NaN,164.231244043209,57.1030926152578,44.231244043209,-62.8969073847422
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,64.4248379327506,89.5786124290944,-55.5751620672494,-30.4213875709056
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,NaN,90.173766044768,88.9546089866235,0.173766044768016,-1.04539101337654
191,191,1834,0.345783111886181,0.58709880700719,1.4372229991561,60,NaN,172.81278646396,145.306363004868,-67.1872135360403,85.3063630048676
194,194,1840,1,1,1.54814313135624,90,NaN,115.807993354423,75.635640689312,25.8079933544229,-14.364359310688
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,NaN,116.535666208317,43.2050222192163,26.5356662083169,-46.7949777807837
197,197,1845,0.858153099674805,1,1.25299316796768,90,NaN,174.152998120499,90.1916541908492,84.1529981204993,0.191654190849206
198,198,1847,0.734353280253017,1,1.38837091466217,90,NaN,9.78338957668531,81.5714173921003,-80.2166104233147,-8.42858260789966
199,199,1850,0.279557257116864,1,1.35441374380695,150,NaN,154.652581223807,41.8693320174701,4.65258122380726,71.8693320174701
204,204,1859,0.88251458527099,0.969731773540344,1.27812009561608,0,NaN,151.668610390732,1.17217554982376,-28.3313896092676,1.17217554982376
207,207,1862,0.378358188307556,0.963556848012181,1.3050152388469,90,NaN,118.390684132015,68.6223588476107,28.3906841320146,-21.3776411523893
209,209,1865,0.407412530582957,0.668678169290869,1.61317562108789,60,NaN,123.41913115795,91.7553135894208,63.4191311579497,31.7553135894208
