FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,13.5589709716235,166.441029028377,-76.4410290283765,76.4410290283765
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,22.0663737607694,67.9336262392306,82.0663737607694,-52.0663737607694
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,11.0657213723299,78.9342786276701,-48.9342786276701,18.9342786276701
44,44,446,0.87476743987574,0.155438976590163,0.418316858323507,150,NaN,2.67291754246854,87.3270824575315,32.6729175424686,-62.6729175424685
53,53,600,0.838473384580331,0.0688574098834377,0.0544635760149108,120,NaN,110.364675853901,69.6353241460991,-9.63532414609912,-50.3646758539009
63,63,647,0.826446280991736,0.296779475274942,1.1899167294601,90,NaN,140.3609137049,129.6390862951,50.3609137048998,39.6390862951002
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,168.081418787986,11.9185812120145,18.0814187879855,41.9185812120145
129,129,1546,1,0.0500561006108734,0.450413978798531,0,NaN,136.72985061465,43.2701493853501,-43.2701493853502,43.2701493853502
142,142,1590,0.580840590685346,0.297111960965317,0.735548758184538,150,NaN,9.55762738272353,80.4423726172765,39.5576273827235,-69.5576273827235
187,187,1828,0.543938078021872,0.0370215255570202,1.12450596169109,150,NaN,177.282267096913,2.71773290308749,27.2822670969125,32.7177329030875
