FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
8,8,107,1,1,1.26529316179806,120,NaN,11.9714717077973,11.9714717077973,71.9714717077973,71.9714717077973
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,152.250332120108,152.250332120108,62.2503321201085,62.2503321201085
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,93.1847310986609,3.18473109866086,3.18473109866086,-86.8152689013391
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,1.95107073676897,1.95107073676897,-88.048929263231,-88.048929263231
24,24,140,1,1,1.53375722104621,60,NaN,167.460596528318,167.460596528318,-72.5394034716819,-72.5394034716819
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,178.470515870609,88.4705158706095,-61.5294841293905,28.4705158706095
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,172.939495913707,82.9394959137066,82.9394959137066,-7.06050408629343
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,7.97514293698916,7.97514293698916,67.9751429369892,67.9751429369892
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,24.8767206336518,114.876720633652,-5.12327936634823,84.8767206336518
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,6.1300459905868,96.1300459905868,-23.8699540094132,66.1300459905868
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,1.24027956700652,1.24027956700652,31.2402795670065,31.2402795670065
67,67,657,0.335892514395394,0.494887941139659,1.23479165951286,60,NaN,171.557987192151,81.557987192151,-68.442012807849,21.557987192151
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,140.645801413077,50.6458014130772,-69.3541985869228,20.6458014130772
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,165.341005243414,165.341005243414,15.341005243414,15.341005243414
90,90,911,0.145241364740678,0.271516697519072,1.34519004521361,120,NaN,163.934959334336,163.934959334336,43.9349593343364,43.9349593343364
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,101.674880767401,101.674880767401,-78.3251192325988,-78.3251192325988
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,169.383253534114,169.383253534114,-70.6167464658863,-70.6167464658863
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,177.82903249846,87.8290324984599,87.8290324984599,-2.17096750154009
115,115,1353,0.44321100157402,1,1.29419174486341,90,NaN,10.735462453739,10.735462453739,-79.264537546261,-79.264537546261
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,8.56347856251011,98.5634785625101,-51.4365214374899,38.5634785625101
136,136,1580,0.311167013015422,0.785923025923471,1.33957971424864,150,NaN,37.6348460364135,37.6348460364135,67.6348460364135,67.6348460364135
137,137,1581,0.208415257569799,0.248365132576722,1.23163084778487,120,NaN,2.38515756908606,2.38515756908606,62.3851575690861,62.3851575690861
144,144,1593,0.334068053450889,0.351069135266311,1.44724993267378,60,NaN,2.76329571363195,2.76329571363195,-57.2367042863681,-57.2367042863681
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,NaN,22.4243450436832,112.424345043683,82.4243450436832,-7.57565495631678
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,12.5667602245242,12.5667602245242,-77.4332397754758,-77.4332397754758
154,154,1611,1,1,1.43950861735482,0,NaN,176.662163161859,86.6621631618591,-3.3378368381409,86.662163161859
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,1.69993734159101,1.69993734159101,61.699937341591,61.699937341591
156,156,1613,1,1,1.46918665675199,120,NaN,42.7442120232624,132.744212023262,-77.2557879767376,12.7442120232624
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,123.206792365605,33.2067923656049,3.20679236560488,-86.7932076343951
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,176.039572006175,176.039572006175,86.0395720061746,86.0395720061746
164,164,1623,0.187618031037031,1,1.23781875543912,120,NaN,29.0003369418336,29.0003369418336,89.0003369418336,89.0003369418336
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,167.594453745206,167.594453745206,47.5944537452064,47.5944537452064
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,NaN,4.33845380303865,4.33845380303865,-85.6615461969614,-85.6615461969614
191,191,1834,0.345783111886181,0.58709880700719,1.4372229991561,60,NaN,169.921926696529,169.921926696529,-70.0780733034711,-70.0780733034711
194,194,1840,1,1,1.54814313135624,90,NaN,1.26620630378144,1.26620630378144,-88.7337936962186,-88.7337936962186
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,NaN,10.2640552280119,100.264055228012,-79.7359447719881,10.2640552280119
197,197,1845,0.858153099674805,1,1.25299316796768,90,NaN,0.099673702339141,0.099673702339141,-89.9003262976609,-89.9003262976609
198,198,1847,0.734353280253017,1,1.38837091466217,90,NaN,4.20718028804314,4.20718028804314,-85.7928197119569,-85.7928197119569
199,199,1850,0.279557257116864,1,1.35441374380695,150,NaN,39.9868682223646,129.986868222365,69.9868682223646,-20.0131317776354
204,204,1859,0.88251458527099,0.969731773540344,1.27812009561608,0,NaN,77.38009666371,77.38009666371,77.38009666371,77.38009666371
207,207,1862,0.378358188307556,0.963556848012181,1.3050152388469,90,NaN,3.04517015528339,93.0451701552834,-86.9548298447166,3.04517015528339
209,209,1865,0.407412530582957,0.668678169290869,1.61317562108789,60,NaN,13.7719259287853,13.7719259287853,-46.2280740712147,-46.2280740712147
