FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,29.0722044541461,119.072204454146,59.0722044541461,-30.9277955458539
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,14.9804004007911,104.980400400791,-75.0195995992089,14.9804004007911
8,8,107,1,1,1.26529316179806,120,NaN,11.9714717077973,11.9714717077973,71.9714717077973,71.9714717077973
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,148.250822880357,148.250822880357,58.250822880357,58.250822880357
20,20,133,1,1,0.851445632287265,30,NaN,172.210720735331,82.210720735331,-37.789279264669,52.210720735331
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,93.1847310986609,3.18473109866086,3.18473109866086,-86.8152689013391
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,1.95107073676897,1.95107073676897,-88.048929263231,-88.048929263231
24,24,140,1,1,1.53375722104621,60,NaN,167.460596528318,167.460596528318,-72.5394034716819,-72.5394034716819
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,22.7805419478494,22.7805419478494,82.7805419478494,82.7805419478494
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,10.7976420339839,10.7976420339839,-49.2023579660161,-49.2023579660161
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,178.470515870609,88.4705158706095,-61.5294841293905,28.4705158706095
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,172.939495913707,82.9394959137066,82.9394959137066,-7.06050408629343
32,32,322,1,1,0.0554353683325361,0,NaN,91.2130440238931,1.21304402389312,-88.7869559761069,1.21304402389312
33,33,328,0.667059721686811,1,0.158459430505494,0,NaN,49.2894183613826,49.2894183613826,49.2894183613826,49.2894183613826
34,34,329,1,1,0.25818803880531,90,NaN,118.179326329361,28.1793263293612,28.1793263293613,-61.8206736706388
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,7.97514293698916,7.97514293698916,67.9751429369892,67.9751429369892
41,41,375,1,1,0.449063864970436,150,NaN,165.751343253753,75.7513432537532,15.7513432537532,-74.2486567462468
44,44,446,0.87476743987574,0.155438976590163,0.418316858323507,150,NaN,2.41637284101949,2.41637284101949,32.4163728410195,32.4163728410195
45,45,457,0.800422040712376,1,0.600723913777366,150,NaN,162.536593062192,72.5365930621918,12.5365930621918,-77.4634069378082
47,47,462,0.500546050236622,0.678116235803737,1.00040405081713,120,NaN,170.525836952215,80.5258369522153,50.5258369522153,-39.4741630477847
48,48,468,1,1,0.595563859748967,0,NaN,7.17539363540375,7.17539363540375,7.17539363540375,7.17539363540375
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,24.8767206336518,114.876720633652,-5.12327936634823,84.8767206336518
50,50,470,0.854039253819187,0.993351923011528,0.515330819082668,90,NaN,177.01874125522,177.01874125522,87.0187412552204,87.0187412552204
51,51,479,0.984929531606121,0.306833048203683,0.428605731005912,120,NaN,2.69130681509978,2.69130681509978,62.6913068150998,62.6913068150998
53,53,600,0.838473384580331,0.0688574098834377,0.0544635760149108,120,NaN,4.76532567755211,94.7653256775521,64.7653256775521,-25.2346743224479
58,58,622,1,0.935847921744911,1.07939163752243,60,NaN,1.74582931800244,1.74582931800244,-58.2541706819976,-58.2541706819976
62,62,646,1,0.996172013162902,0.615719491055656,0,NaN,16.059515139962,106.059515139962,16.059515139962,-73.940484860038
63,63,647,0.826446280991736,0.296779475274942,1.1899167294601,90,NaN,141.262122658486,141.262122658486,51.262122658486,51.262122658486
64,64,648,0.821125330919167,0.682832150748472,1.30369111734,30,NaN,6.1300459905868,96.1300459905868,-23.8699540094132,66.1300459905868
65,65,649,0.916894373768142,0.338307457314248,1.58838877050065,150,NaN,1.24027956700652,1.24027956700652,31.2402795670065,31.2402795670065
69,69,664,0.594781273983116,1,1.00889372441145,90,NaN,4.59715319892029,4.59715319892029,-85.4028468010797,-85.4028468010797
78,78,778,0.552358442092282,1,0.205946899978626,150,NaN,5.30088252412241,5.30088252412241,35.3008825241224,35.3008825241224
82,82,793,0.639960245859099,0.949417232772556,0.227992005160236,0,NaN,127.069231636335,37.069231636335,-52.930768363665,37.069231636335
83,83,797,1,1,0.966724847196359,150,NaN,168.169578322505,168.169578322505,18.1695783225045,18.1695783225045
86,86,801,0.760143085757319,1,1.30517653383849,30,NaN,140.645801413077,50.6458014130772,-69.3541985869228,20.6458014130772
87,87,808,0.869706377543855,0.0862854145280738,1.35515837166337,150,NaN,165.341005243414,165.341005243414,15.341005243414,15.341005243414
95,95,919,0.771188589176,0.885338676458744,1.30058917011358,0,NaN,101.674880767401,101.674880767401,-78.3251192325988,-78.3251192325988
96,96,1015,0.880471358080519,0.382913973771726,0.823510466590073,30,NaN,170.575053023547,80.5750530235465,-39.4249469764535,50.5750530235465
97,97,1078,0.866583289248541,0.685687026157766,1.2854060846743,60,NaN,169.383253534114,169.383253534114,-70.6167464658863,-70.6167464658863
98,98,1080,1,1,0.820942765243445,120,NaN,29.0727048177588,29.0727048177588,89.0727048177588,89.0727048177588
99,99,1083,0.751529900153885,0.916583332208425,1.6382338262546,90,NaN,177.82903249846,87.8290324984599,87.8290324984599,-2.17096750154009
100,100,1086,0.769198649503108,1,1.09867242510574,60,NaN,142.789649937987,142.789649937987,82.7896499379872,82.7896499379872
104,104,1248,0.563953897795827,0.534013286480318,0.10210537102235,120,NaN,4.9151560299117,4.9151560299117,64.9151560299117,64.9151560299117
107,107,1322,0.586793409708586,0.32129193176774,0.717866433957491,90,NaN,10.3705540057938,100.370554005794,-79.6294459942062,10.3705540057938
110,110,1330,1,0.423341576174605,0.850243840613067,120,NaN,172.267362223868,82.2673622238679,52.2673622238679,-37.7326377761321
111,111,1334,1,1,0.118473237410928,90,NaN,175.000387198551,175.000387198551,85.000387198551,85.000387198551
113,113,1347,0.725095279677288,0.867110322241284,1.10489492110861,120,NaN,13.7966387395219,103.796638739522,73.7966387395219,-16.2033612604781
114,114,1348,1,0.493771547927624,0.941645111883071,90,NaN,179.505304163337,89.5053041633373,89.5053041633373,-0.494695836662657
120,120,1440,0.68607588097843,1,0.287495555533532,0,NaN,12.1423191049813,12.1423191049813,12.1423191049813,12.1423191049813
125,125,1510,1,1,0.160186233820611,0,NaN,99.7280101762328,9.72801017623284,-80.2719898237672,9.72801017623284
126,126,1517,1,1,0.858692995849257,120,NaN,179.599173487176,179.599173487176,59.5991734871759,59.5991734871759
127,127,1532,0.982209043736101,0.971224638902939,1.42453345945129,60,NaN,8.56347856251011,98.5634785625101,-51.4365214374899,38.5634785625101
128,128,1545,0.578586340590516,0.721275935046215,0.03361617577342,90,NaN,57.3780721354515,57.3780721354515,-32.6219278645485,-32.6219278645485
129,129,1546,1,0.0500561006108734,0.450413978798531,0,NaN,135.104760268807,45.1047602688071,-44.8952397311929,45.1047602688071
130,130,1563,0.584231342727465,0.42385304250598,1.00899872034985,90,NaN,13.3102772963406,103.310277296341,-76.6897227036594,13.3102772963406
142,142,1590,0.580840590685346,0.297111960965317,0.735548758184538,150,NaN,8.0631574534789,8.06315745347891,38.0631574534789,38.0631574534789
143,143,1592,1,1,1.06414138710626,90,NaN,174.701821882515,174.701821882515,84.7018218825154,84.7018218825154
145,145,1596,1,1,0.287251394974415,0,NaN,168.659767094489,168.659767094489,-11.3402329055106,-11.3402329055106
149,149,1602,0.503115009427002,0.451017635546899,0.683884881248762,150,NaN,13.9683034973638,13.9683034973638,43.9683034973638,43.9683034973638
150,150,1605,1,1,0.888250422926406,150,NaN,36.2810737270971,36.2810737270971,66.2810737270971,66.2810737270971
151,151,1606,0.505975049244911,0.853160332663778,0.692836018519022,90,NaN,20.7592468981221,110.759246898122,-69.2407531018779,20.7592468981221
153,153,1610,0.61946380063777,1,1.57334087403508,90,NaN,12.5667602245242,12.5667602245242,-77.4332397754758,-77.4332397754758
154,154,1611,1,1,1.43950861735482,0,NaN,176.662163161859,86.6621631618591,-3.3378368381409,86.662163161859
155,155,1612,1,0.899457861015278,1.64799872596301,120,NaN,1.69993734159101,1.69993734159101,61.699937341591,61.699937341591
156,156,1613,1,1,1.46918665675199,120,NaN,42.7442120232624,132.744212023262,-77.2557879767376,12.7442120232624
158,158,1616,0.92485549132948,0.983440662373505,1.60120117870586,120,NaN,123.206792365605,33.2067923656049,3.20679236560488,-86.7932076343951
159,159,1618,0.900946655660263,0.473117045786903,1.05090011354247,30,NaN,168.148962560943,78.1489625609427,-41.8510374390573,48.1489625609427
160,160,1619,0.680786344098039,0.826678901865554,1.4404843554945,90,NaN,176.039572006175,176.039572006175,86.0395720061746,86.0395720061746
161,161,1620,0.975992383983199,0.526751108331134,0.983274990045516,30,NaN,144.844417163589,54.8444171635889,-65.1555828364111,24.8444171635889
163,163,1622,0.521327423875391,0.99864338180506,1.10900874900209,0,NaN,1.75189896210773,91.7518989621077,1.75189896210773,-88.2481010378923
165,165,1635,0.794437980429931,0.365771058090273,1.14358815070917,150,NaN,171.265820074886,171.265820074886,21.2658200748857,21.2658200748857
167,167,1642,0.780711105537092,0.750145758596328,0.942593670278619,150,NaN,128.400657580678,128.400657580678,-21.5993424193218,-21.5993424193218
170,170,1646,0.989419066029098,0.32987073838504,1.37102032078519,120,NaN,167.594453745206,167.594453745206,47.5944537452064,47.5944537452064
185,185,1826,1,1,0.583140592291701,120,NaN,12.6897080919411,102.689708091941,72.6897080919411,-17.3102919080589
187,187,1828,0.543938078021872,0.0370215255570202,1.12450596169109,150,NaN,177.833584896484,87.8335848964836,27.8335848964836,-62.1664151035164
193,193,1839,0.672763549351378,1,0.849588805796004,30,NaN,162.850221438949,162.850221438949,-47.1497785610512,-47.1497785610512
194,194,1840,1,1,1.54814313135624,90,NaN,1.26620630378144,1.26620630378144,-88.7337936962186,-88.7337936962186
196,196,1842,0.659697554044453,0.675480414092354,1.57724446485033,90,NaN,10.2640552280119,100.264055228012,-79.7359447719881,10.2640552280119
