FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,29.0665300568684,29.0665300568684,59.0665300568684,59.0665300568684
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,155.384468299273,155.384468299273,65.384468299273,65.384468299273
8,8,107,1,1,1.26529316179806,120,NaN,11.9723603468111,101.972360346811,71.9723603468111,-18.0276396531889
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,148.256109457575,58.2561094575753,58.2561094575753,-31.7438905424247
20,20,133,1,1,0.851445632287265,30,NaN,172.212798345818,172.212798345818,-37.7872016541818,-37.7872016541818
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,93.1942650057519,93.1942650057519,3.19426500575192,3.19426500575192
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,1.96565745865692,91.9656574586569,-88.0343425413431,1.96565745865691
24,24,140,1,1,1.53375722104621,60,NaN,167.456169880678,77.4561698806776,-72.5438301193224,17.4561698806776
25,25,230,1,0.256209610518171,0.426151499205499,120,NaN,22.7829508672048,112.782950867205,82.7829508672048,-7.2170491327952
27,27,232,0.648064647321981,0.120761049726936,0.764251117029859,60,NaN,10.7944273805642,100.794427380564,-49.2055726194358,40.7944273805642
30,30,250,0.766317232182546,1,1.24085784565666,60,NaN,178.465941927645,178.465941927645,-61.5340580723547,-61.5340580723547
31,31,252,0.918713800679049,0.66579460734647,1.72777578066952,90,NaN,172.940693253912,172.940693253912,82.940693253912,82.940693253912
32,32,322,1,1,0.0554353683325361,0,NaN,91.2167773994671,91.2167773994671,-88.783222600533,-88.783222600533
33,33,328,0.667059721686811,1,0.158459430505494,0,NaN,165.126266215795,165.126266215795,-14.8737337842048,-14.8737337842048
34,34,329,1,1,0.25818803880531,90,NaN,118.17084876029,118.17084876029,28.1708487602896,28.1708487602896
40,40,363,0.686121976031291,0.888534608994074,1.35972002720363,120,NaN,9.60014913734165,9.60014913734165,69.6001491373416,69.6001491373416
41,41,375,1,1,0.449063864970436,150,NaN,165.745727449943,165.745727449943,15.7457274499434,15.7457274499434
44,44,446,0.87476743987574,0.155438976590163,0.418316858323507,150,NaN,171.574718285325,171.574718285325,21.5747182853245,21.5747182853245
45,45,457,0.800422040712376,1,0.600723913777366,150,NaN,162.531821864186,162.531821864186,12.5318218641855,12.5318218641855
47,47,462,0.500546050236622,0.678116235803737,1.00040405081713,120,NaN,170.53955695877,170.53955695877,50.5395569587704,50.5395569587704
48,48,468,1,1,0.595563859748967,0,NaN,7.16885917397289,97.1688591739729,7.16885917397289,-82.8311408260271
49,49,469,0.6577033373509,0.748038442377947,1.38124411258787,30,NaN,24.770599706156,24.770599706156,-5.22940029384399,-5.22940029384399
50,50,470,0.854039253819187,0.993351923011528,0.515330819082668,90,NaN,177.390773687892,87.3907736878918,87.3907736878918,-2.60922631210825
51,51,479,0.984929531606121,0.306833048203683,0.428605731005912,120,NaN,2.69257312252313,92.6925731225231,62.6925731225231,-27.3074268774769
53,53,600,0.838473384580331,0.0688574098834377,0.0544635760149108,120,NaN,4.67945407491723,4.67945407491723,64.6794540749172,64.6794540749172
58,58,622,1,0.935847921744911,1.07939163752243,60,NaN,1.74477219874885,91.7447721987488,-58.2552278012512,31.7447721987488
