FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,SmoothDataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
1,1,60,NaN,NaN,0.299216465157033,0,NaN,48.2657573283835,48.2657573283835,48.2657573283835,48.2657573283835
2,2,68,0.936896241453177,0.891982444316664,1.08193026436048,150,NaN,126.661671760367,126.661671760367,-23.3383282396333,-23.3383282396333
3,3,71,0.570358034970858,0.269665677437632,0.554733984905175,90,NaN,15.1925182064054,15.1925182064054,-74.8074817935946,-74.8074817935946
4,4,81,0.212110562583409,0.382159216825867,0.233528913428427,90,NaN,53.3428147785541,53.3428147785541,-36.6571852214459,-36.6571852214459
5,5,93,0.0735792380123998,0.373547017019511,0.135471826597621,90,NaN,89.2647766656045,89.2647766656045,-0.735223334395528,-0.735223334395528
6,6,94,0.0419701327761647,0.184495344764415,0.27462395353489,30,NaN,111.655658974017,111.655658974017,81.6556589740174,81.6556589740174
7,7,95,0.311822125813449,1,0.458255878435033,90,NaN,96.1236508571733,96.1236508571733,6.1236508571733,6.1236508571733
8,8,107,1,1,1.26529316179806,120,NaN,102.703859260936,102.703859260936,-17.2961407390637,-17.2961407390637
9,9,115,0.0321403890236501,0.175907504311242,0.229546674852225,120,NaN,114.594735862619,114.594735862619,-5.40526413738127,-5.40526413738124
10,10,118,NaN,NaN,0.543186253845517,0,NaN,93.3258252826456,93.3258252826456,-86.6741747173544,-86.6741747173544
11,11,121,0.293720919857555,0.5823543444274,1.25557100760143,90,NaN,61.5684478035619,61.5684478035619,-28.4315521964381,-28.4315521964381
12,12,123,0.264580741286884,1,0.991726458456369,90,NaN,99.6667283529003,99.6667283529003,9.66672835290028,9.66672835290028
13,13,125,NaN,NaN,0.190797148809229,0,NaN,81.6709045246095,81.6709045246095,81.6709045246095,81.6709045246095
14,14,126,NaN,NaN,0.439449982919711,0,NaN,101.567658431988,101.567658431988,-78.432341568012,-78.432341568012
15,15,127,0.266742338251986,0.991564205767216,0.879069601011708,0,NaN,86.8198395822771,86.8198395822771,86.8198395822771,86.8198395822771
16,16,129,NaN,NaN,0.532231262177957,0,NaN,85.7510720802992,85.7510720802992,85.7510720802992,85.7510720802992
17,17,130,0.737805412032578,1,0.806411871017177,90,NaN,53.1966963778169,53.1966963778169,-36.8033036221831,-36.8033036221831
18,18,131,0.472965409157058,0.963179005051269,0.433693331369471,30,NaN,3.89392058068249,3.89392058068249,-26.1060794193175,-26.1060794193175
19,19,132,0.398849167072085,1,0.132215941280472,90,NaN,91.3021178685997,91.3021178685997,1.30211786859968,1.30211786859968
20,20,133,1,1,0.851445632287265,30,NaN,66.6452087521247,66.6452087521246,36.6452087521247,36.6452087521246
21,21,135,0.543664455000496,0.99535155346016,1.39139804879178,90,NaN,90.8411583104103,90.8411583104103,0.841158310410265,0.841158310410265
22,22,137,0.742392189525768,0.828795208559004,1.42376712919987,90,NaN,96.7387968356104,96.7387968356104,6.73879683561043,6.73879683561043
23,23,139,0.478404376918434,0.501179591861686,0.749802872790854,0,NaN,52.6078202002551,52.6078202002551,52.6078202002551,52.6078202002551
24,24,140,1,1,1.53375722104621,60,NaN,76.9098428404765,76.9098428404765,16.9098428404765,16.9098428404765
